Year,Attacks,BombingExplosion,Assassination,Armed_Assault,Infrastructure_Attack,Kidnapping,Unknown,Unarmed_Assault,Hostage_Taking,Hijacking,Group
1970,10,2,0,7,0,1,0,0,0,0,All
1970,7,2,0,5,0,0,0,0,0,0,Irish Republican Army (IRA)
1970,1,0,0,0,0,1,0,0,0,0,Basque Fatherland and Freedom (ETA)
1970,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1970,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1970,1,0,0,1,0,0,0,0,0,0,Protestant extremists
1970,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1970,1,0,0,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1970,0,0,0,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1970,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1970,0,0,0,0,0,0,0,0,0,0,Red Brigades
1970,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1970,50,21,0,10,12,1,0,1,0,5,Other
1971,71,20,46,1,2,2,0,0,0,0,All
1971,60,14,45,1,0,0,0,0,0,0,Irish Republican Army (IRA)
1971,4,1,0,0,1,2,0,0,0,0,Basque Fatherland and Freedom (ETA)
1971,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1971,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1971,4,2,1,0,1,0,0,0,0,0,Protestant extremists
1971,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1971,3,3,0,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1971,0,0,0,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1971,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1971,0,0,0,0,0,0,0,0,0,0,Red Brigades
1971,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1971,57,30,13,4,8,1,0,0,0,1,Other
1972,261,56,155,41,1,8,0,0,0,0,All
1972,162,45,77,32,1,7,0,0,0,0,Irish Republican Army (IRA)
1972,4,0,2,1,0,1,0,0,0,0,Basque Fatherland and Freedom (ETA)
1972,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1972,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1972,48,4,39,5,0,0,0,0,0,0,Protestant extremists
1972,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1972,23,5,17,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1972,24,2,20,2,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1972,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1972,0,0,0,0,0,0,0,0,0,0,Red Brigades
1972,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1972,92,51,25,9,2,1,1,0,0,3,Other
1973,185,48,121,7,3,4,0,0,0,2,All
